"CTL"	"dysfunction"
"BCKDK"	0	0
"BCL10"	0	0
"BCL11A"	0	0
"BCL11B"	0	0
"BCL2"	0	0
"BCL2L13"	0	0
"BCL6B"	0	0
"BCL7A"	1	0
"BCL9"	0	0
"BCLAF1"	0	2
"BCOR"	1	1
"BCORL1"	0	0
"BCR"	0	1
"BEX3"	1	0
"BHLHE22"	0	0
"BHLHE40"	0	0
"BHLHE41"	0	0
"BIRC2"	0	1
"BIRC3"	0	0
"BIRC7"	0	0
"BLK"	0	0
"BLM"	0	1
"BLNK"	0	0
"BLOC1S2"	0	0
"BLZF1"	0	2
"BMP2"	0	0
"BMP3"	1	0
"BMP4"	0	0
"BMP6"	0	0
"BMPR1A"	0	3
"BNC1"	0	0
"BNIP3"	1	3
"BPTF"	1	1
"BRCA1"	0	1
"BRCC3"	1	2
"BRD7"	1	1
"BRD8"	0	0
"BRDT"	0	0
"BRIP1"	0	1
"BRMS1L"	0	3
"BRSK1"	0	0
"BRWD1"	0	0
"BST2"	0	0
"BTF3"	0	0
"BTG1"	0	0
"BTG2"	0	0
"BTK"	0	0
"BTLA"	0	0
"BTRC"	0	0
"BUB1B"	0	1
"BUD31"	1	2
"C1D"	0	3
"C1QBP"	0	2
"C2CD3"	0	0
"C3AR1"	0	0
"C5AR1"	0	0
"C5AR2"	0	0
"CA8"	0	0
"CABIN1"	0	0
"CABP2"	0	0
"CABYR"	0	1
"CACNA1A"	0	0
"CACNB3"	2	0
"CAD"	0	1
"CALCOCO1"	0	0
"CALCR"	0	0
"CALCRL"	0	0
"CALM3"	0	0
"CALML5"	0	0
"CALR"	0	0
"CAMK1"	0	0
"CAMK4"	0	0
"CAMLG"	0	0
"CAMTA1"	1	0
"CAND1"	0	4
"CAND2"	0	0
"CANT1"	0	1
"CAP1"	0	0
"CAP2"	0	0
"CAPN3"	0	0
"CAPN5"	0	0
"CAPS"	0	0
"CARD10"	0	0
"CARD14"	0	0
"CARD8"	0	0
"CARHSP1"	0	0
"CARS"	0	1
"CASK"	0	1
"CASKIN1"	0	1
"CASP1"	0	0
"CASP10"	0	0
"CASP2"	0	0
"CASP3"	0	0
"CASP7"	0	0
"CASP8"	0	0
"CASP8AP2"	0	1
"CASP9"	0	0
"CASR"	0	0
"CASS4"	0	0
"CASZ1"	1	0
"CAT"	0	0
"CAV1"	0	0
"CAV2"	0	0
"CAVIN1"	0	0
"CAVIN4"	0	0
"CBFA2T2"	0	0
"CBFA2T3"	0	0
"CBFB"	0	0
"CBLB"	0	0
"CBX2"	1	2
"CBX3"	0	4
"CBX5"	0	0
"CBX7"	0	0
"CBX8"	0	0
"CBY1"	0	0
"CCAR1"	0	0
"CCDC47"	2	3
"CCDC59"	0	3
"CCDC85B"	0	0
"CCDC88C"	0	0
"CCL13"	0	0
"CCL16"	0	0
