"CTL"	"dysfunction"
"CDK9"	0	0
"CDKL2"	0	0
"CDKN1A"	0	0
"CDKN1B"	0	0
"CDKN2C"	0	0
"CDON"	0	0
"CDS1"	0	0
"CDX1"	1	3
"CDYL"	0	0
"CEACAM1"	0	0
"CEACAM6"	0	0
"CEBPA"	0	0
"CEBPB"	0	0
"CEBPD"	0	0
"CEBPE"	1	0
"CEBPG"	0	0
"CEBPZ"	0	0
"CECR2"	0	0
"CELSR1"	0	0
"CELSR2"	0	0
"CELSR3"	0	0
"CENPF"	0	0
"CENPI"	0	0
"CENPK"	0	0
"CENPU"	0	0
"CEP57"	0	0
"CEP63"	0	0
"CERK"	0	0
"CERS2"	0	0
"CERS4"	0	0
"CERS6"	0	0
"CFL1"	0	0
"CFLAR"	0	1
"CGA"	0	0
"CHAF1B"	0	0
"CHD2"	0	0
"CHD3"	0	0
"CHD4"	0	0
"CHD6"	0	0
"CHD7"	0	0
"CHEK1"	0	0
"CHEK2"	0	0
"CHIC2"	0	0
"CHKA"	0	0
"CHMP5"	0	0
"CHN1"	0	0
"CHRDL1"	0	2
"CHRNA5"	0	0
"CHRNE"	1	0
"CHRNG"	0	0
"CHST11"	5	0
"CHUK"	0	0
"CHURC1"	1	0
"CIAO1"	0	0
"CIITA"	3	5
"CISH"	0	0
"CIT"	0	0
"CITED2"	0	0
"CKS1B"	0	0
"CKS2"	0	0
"CLDN3"	0	0
"CLDN4"	0	0
"CLEC1A"	1	1
"CLEC2D"	2	1
"CLEC4A"	0	0
"CLEC5A"	0	0
"CLEC7A"	1	1
"CLIC2"	1	0
"CLIC3"	0	1
"CLN3"	0	0
"CLP1"	0	0
"CLTC"	0	0
"CLU"	0	1
"CMKLR1"	6	5
"CNBP"	0	0
"CNGA3"	0	0
"CNIH2"	0	0
"CNIH4"	0	0
"CNKSR1"	0	0
"CNKSR2"	0	0
"CNOT1"	0	0
"CNOT3"	0	0
"CNOT4"	0	0
"CNOT6"	0	0
"CNOT7"	0	0
"CNOT9"	0	0
"CNTLN"	0	0
"CNTN6"	0	1
"CNTNAP1"	0	2
"COL1A1"	0	0
"COL4A3BP"	0	0
"COLEC12"	0	1
"COMMD7"	0	0
"COPRS"	1	0
"COPS2"	0	0
"COPS5"	0	0
"CORO1C"	1	1
"CORO2A"	0	0
"CPE"	0	0
"CPLANE2"	0	1
"CR1"	2	1
"CRABP1"	0	0
"CRABP2"	0	0
"CREB3"	0	0
"CREB3L1"	0	0
"CREB3L3"	0	0
"CREB3L4"	0	0
"CREBBP"	0	0
"CREBL2"	1	1
"CREBZF"	0	0
"CREG1"	0	0
"CREM"	0	0
"CRIPAK"	0	0
"CRKL"	0	0
"CRLF2"	0	1
"CRTC1"	0	0
"CRTC3"	0	1
"CRY1"	0	0
"CRY2"	0	1
"CRYAB"	0	0
"CRYM"	0	0
"CSF1"	4	4
"CSF1R"	4	2
"CSF2RB"	6	2
"CSF3R"	2	1
"CSK"	1	0
"CSNK1A1"	0	0
"CSNK1D"	0	0
"CSNK1G3"	0	0
"CSRNP1"	0	2
"CSRNP3"	0	0
"CTBP1"	0	0
"CTBP2"	0	0
"CTCF"	0	0
"CTGF"	0	0
"CTNNA1"	0	0
"CTNNAL1"	0	0
"CTNNBIP1"	0	0
"CTNND1"	0	0
"CTNND2"	0	0
"CTSH"	0	1
"CUL3"	0	0
"CUX1"	0	0
"CUX2"	0	1
"CX3CL1"	0	1
"CX3CR1"	1	1
"CXCL10"	6	0
"CXCL14"	0	0
"CXCL16"	1	1
"CXCL2"	0	0
"CXCL3"	0	0
"CXCR2"	2	0
"CXCR3"	2	2
"CXCR4"	1	0
"CXCR5"	1	3
"CXCR6"	3	3
"CXXC4"	0	0
"CXXC5"	0	0
"CYCS"	0	0
"CYLD"	1	1
"CYP26A1"	0	0
"CYP26B1"	2	0
"CYSLTR1"	1	1
"CYTH1"	1	3
"CYTH2"	0	0
"CYTH3"	0	0
"CYTH4"	5	6
"CYTL1"	0	1
"DAB2IP"	0	0
"DACH1"	0	0
"DACH2"	0	0
"DACT1"	0	0
"DAP3"	0	0
"DAPK1"	0	1
"DAPK2"	0	2
"DAPP1"	1	0
"DCAF6"	0	0
"DCC"	1	0
"DCLK1"	0	0
"DCLK2"	0	2
"DCX"	0	0
"DDAH1"	0	0
"DDAH2"	0	0
"DDIT3"	0	0
"DDR1"	0	0
"DDR2"	0	0
"DDX1"	0	0
"DDX10"	0	0
"DDX5"	0	0
"DDX54"	0	0
"DDX6"	0	0
"DEAF1"	0	0
"DEDD"	0	0
"DEF8"	0	0
"DEK"	0	0
"DENND4A"	0	1
"DEPDC1"	0	0
"DEPDC1B"	0	0
"DEPDC7"	0	0
"DEPTOR"	0	0
"DERL3"	1	0
"DFFA"	0	0
"DFFB"	0	0
"DGKA"	1	1
"DGKD"	0	0
"DGKZ"	0	0
"DHCR24"	0	0
"DIABLO"	0	0
"DICER1"	0	0
"DIDO1"	0	0
"DIRAS2"	0	0
"DIRAS3"	0	0
"DISP1"	0	0
"DKK1"	0	0
"DKKL1"	0	1
"DLC1"	0	1
"DLG5"	0	0
"DLL3"	0	0
"DLX3"	0	0
"DLX4"	0	0
"DLX5"	0	0
"DLX6"	0	0
"DMD"	0	0
"DMRTA1"	0	0
"DMRTC1"	0	0
"DNAJA1"	0	0
"DNAJA3"	0	0
"DNAJB6"	0	0
"DNAJC27"	0	0
"DNASE1L3"	1	1
"DNM1L"	0	0
"DNMBP"	0	0
"DNMT1"	0	0
"DNMT3A"	0	0
"DNMT3B"	0	0
"DNTTIP2"	0	0
"DOCK1"	0	0
"DOK1"	0	2
"DOK2"	4	6
"DOK3"	5	6
"DOK4"	0	0
"DOK5"	0	0
"DOT1L"	1	0
"DPF1"	0	0
"DPF3"	1	1
"DPYSL2"	0	1
"DR1"	0	0
"DRAP1"	0	0
"DRD4"	0	0
"DTX1"	0	1
"DTX4"	0	0
"DUOX1"	0	1
"DUSP1"	0	0
"DUSP16"	0	0
"DUSP19"	0	0
"DUSP2"	2	1
"DUSP22"	0	0
"DUSP4"	0	0
"DUSP6"	0	0
"DUSP8"	0	0
"DVL1"	0	0
"DVL2"	0	0
"DYRK1B"	0	0
"E2F1"	0	0
"E2F2"	0	1
"E2F3"	0	0
"E2F5"	0	0
"E2F6"	0	0
"E2F7"	0	0
"E2F8"	0	0
"E4F1"	0	0
"EAF2"	1	0
"EBF1"	0	1
"EBF4"	0	1
"EBI3"	1	1
"ECE1"	0	0
"ECT2"	0	0
"EDA2R"	0	0
"EDN1"	0	0
"EDNRA"	0	0
"EDNRB"	0	1
"EDRF1"	0	0
"EED"	1	0
"EEF1D"	0	0
"EEF1E1"	0	0
"EFCAB6"	0	0
"EFNA1"	0	0
"EFNB3"	0	0
"EFS"	0	0
"EGF"	0	0
"EGFR"	0	0
"EGLN1"	0	0
"EGR1"	0	0
"EGR2"	0	1
"EGR3"	0	1
"EHF"	0	0
"EID2B"	0	0
"EID3"	3	2
"EIF2A"	0	0
"EIF2AK2"	0	0
"EIF4EBP1"	0	0
"EIF4EBP2"	0	0
"ELF3"	0	0
"ELF4"	0	0
"ELF5"	0	0
"ELK1"	0	0
"ELK3"	0	0
"ELL"	1	4
"ELL2"	0	0
"ELL3"	0	0
"ELMO1"	5	4
"ELN"	0	2
"ELOB"	0	0
"ELOC"	0	0
"ELOVL4"	1	0
"ELP1"	0	0
"ELP3"	0	0
"ELP4"	0	0
"EML4"	0	0
"ENG"	1	2
"ENPP2"	1	0
"ENY2"	0	0
"EOMES"	2	2
"EPAS1"	0	1
"EPC1"	0	0
"EPC2"	0	0
"EPHA1"	0	0
"EPHA2"	0	0
"EPHA4"	0	0
"EPHA8"	0	0
"EPHB2"	0	0
"EPHB3"	0	0
"EPHB4"	0	0
"EPHB6"	0	2
"EPO"	0	0
"EPOR"	0	0
"EPS8"	0	0
"ERBB2"	0	0
"ERBB3"	0	0
"ERBB4"	0	0
"ERBIN"	0	0
"ERCC3"	0	0
"ERCC6"	0	0
"ERG"	0	1
"ERN1"	0	0
"ERN2"	0	0
"ERO1A"	0	0
"ESF1"	0	0
"ESR1"	1	0
"ESR2"	0	2
"ESRRB"	0	1
"ESRRG"	0	0
"ETS1"	3	1
"ETV2"	0	0
"ETV3"	0	0
"ETV4"	0	0
"ETV5"	0	0
"ETV6"	0	0
"ETV7"	3	0
"EVI2A"	3	1
"EVL"	2	3
"EVX1"	0	0
"EWSR1"	0	0
"EXT1"	0	0
"EXT2"	0	0
"EYA3"	0	0
"F10"	0	2
"F2RL1"	0	0
"F3"	0	0
"F7"	0	0
"FABP4"	0	1
"FAF1"	0	0
"FAM120B"	0	0
"FAM13B"	0	0
"FANCA"	0	0
"FANCD2"	0	0
"FANCF"	0	0
"FANCG"	0	0
"FANCL"	0	0
"FARP1"	0	0
"FARP2"	0	1
"FAS"	0	0
"FASLG"	2	1
"FASTK"	0	0
"FAT1"	0	0
"FBXO11"	0	0
"FBXO6"	0	0
"FBXW4"	0	0
"FBXW7"	0	0
"FCER1A"	0	0
"FCER1G"	7	0
"FCGR2B"	3	0
"FCGR2C"	3	0
"FCGRT"	1	1
"FCRL2"	0	0
"FCRL4"	1	0
"FEN1"	0	0
"FEZF1"	0	0
"FFAR2"	2	0
"FFAR4"	0	1
"FGA"	0	0
"FGB"	0	0
"FGD1"	0	0
"FGD2"	3	3
"FGD3"	2	4
"FGD4"	0	0
"FGD5"	0	3
"FGF1"	0	0
"FGF11"	0	0
"FGF13"	0	0
"FGF14"	0	0
"FGF18"	0	1
"FGF2"	0	1
"FGF22"	0	0
"FGF23"	0	0
"FGF6"	0	1
"FGF8"	0	1
"FGF9"	0	0
"FGFBP1"	0	0
"FGFR1OP"	0	0
"FGFR2"	0	0
"FGFR3"	1	0
"FGFRL1"	0	0
"FH"	0	0
"FHIT"	0	0
"FHL2"	0	0
"FHL5"	0	1
"FICD"	0	1
"FKBP1A"	0	0
"FLI1"	4	3
"FLII"	0	1
"FLNA"	0	1
"FLNB"	0	0
"FLRT3"	0	0
"FLT1"	0	0
"FLT3"	0	1
"FLT3LG"	3	4
"FLT4"	0	1
"FNBP1"	2	1
"FNTA"	0	0
"FOSB"	0	0
"FOSL1"	0	0
"FOSL2"	0	0
"FOXA1"	0	0
"FOXA2"	0	0
"FOXF1"	0	1
"FOXF2"	0	1
"FOXJ2"	0	0
"FOXJ3"	0	0
"FOXK2"	0	0
"FOXM1"	0	0
"FOXN1"	0	1
"FOXN2"	0	0
"FOXN4"	0	0
"FOXO1"	0	1
"FOXP1"	0	1
"FOXP3"	1	2
"FOXP4"	0	0
"FOXQ1"	0	0
"FOXS1"	0	0
"FPR1"	6	1
"FPR2"	3	0
"FPR3"	4	0
"FRAT1"	0	0
"FRAT2"	0	0
"FRY"	0	0
"FRYL"	0	0
"FSTL3"	0	1
"FUBP1"	0	0
"FUBP3"	0	0
"FURIN"	0	0
"FUS"	0	0
"FYB1"	4	2
"FYN"	1	1
"FZD10"	0	0
"FZD3"	0	0
"FZD4"	0	0
"FZD5"	0	0
"FZD6"	0	0
"FZD9"	0	0
"G3BP1"	0	0
"G3BP2"	0	0
"GAB1"	0	0
"GABBR1"	0	1
"GABBR2"	0	0
"GABPA"	0	0
"GABPB1"	0	0
"GABPB2"	0	0
"GABRB1"	0	0
"GABRG3"	0	0
"GABRP"	0	0
"GADD45B"	0	0
"GAL"	0	0
"GALR2"	0	0
"GARNL3"	0	0
"GAS1"	0	0
"GAS7"	1	5
"GATA1"	0	1
"GATA3"	1	1
"GATA5"	0	1
"GATA6"	0	1
"GATAD1"	0	0
"GATAD2B"	0	0
"GBF1"	0	0
"GBX2"	0	0
"GDF2"	0	0
"GFI1"	2	3
"GFRA1"	0	2
"GFRA2"	0	2
"GFRA3"	0	0
"GGCT"	0	0
"GHR"	0	0
"GHRH"	0	1
"GHRHR"	0	2
"GHRL"	0	2
"GHSR"	0	0
"GID4"	0	0
"GIPC1"	0	0
"GIT2"	1	1
"GKAP1"	0	0
"GLI2"	0	0
"GLI3"	0	1
"GLIS3"	0	0
"GLP1R"	0	1
"GLRB"	0	0
"GLRX2"	0	0
"GMCL1"	0	0
"GMEB2"	0	0
"GMFB"	0	0
"GMIP"	2	4
"GMNN"	0	0
"GMPS"	0	0
"GNA12"	0	0
"GNA13"	1	0
"GNA14"	0	0
"GNA15"	0	0
"GNAI1"	0	0
"GNAI2"	1	3
"GNAI3"	0	0
"GNAS"	0	0
"GNAZ"	0	0
"GNB1"	0	0
"GNB2"	0	0
"GNB3"	0	3
"GNB4"	2	1
"GNG10"	0	0
"GNG11"	0	1
"GNG12"	0	0
"GNG13"	0	1
"GNG2"	3	3
"GNG4"	1	0
"GNG5"	0	0
"GNG7"	0	3
"GNG8"	1	1
"GNGT2"	3	2
"GNL1"	0	0
"GNRHR2"	0	0
"GOLPH3"	0	0
"GOLT1B"	0	0
"GON4L"	0	0
"GPBAR1"	1	1
"GPBP1L1"	0	0
"GPC3"	0	0
"GPHN"	0	0
"GPR132"	0	1
"GPR146"	0	1
"GPR150"	0	0
"GPR160"	0	0
"GPR161"	0	0
"GPR162"	0	0
"GPR17"	0	0
"GPR171"	1	1
"GPR173"	0	0
"GPR174"	1	0
"GPR18"	2	2
"GPR183"	3	1
"GPR19"	0	0
"GPR20"	0	1
"GPR25"	0	0
"GPR31"	0	2
"GPR34"	0	0
"GPR35"	1	0
"GPR39"	0	0
"GPR4"	0	1
"GPR55"	0	1
"GPR65"	6	2
"GPR68"	0	1
"GPR84"	3	0
"GPR85"	0	0
"GPR87"	0	0
"GPRC5A"	0	0
"GPRC5B"	0	0
"GPRC5C"	0	0
"GPSM2"	0	0
"GPSM3"	3	5
"GPX1"	0	0
"GRAP"	0	1
"GRAP2"	0	0
"GRB14"	0	0
"GRB2"	2	1
"GRB7"	0	0
"GREM1"	0	0
"GRHL1"	0	0
"GRHL2"	0	0
"GRHL3"	0	0
"GRIN1"	0	0
"GRIN2B"	0	0
"GRIN2C"	0	0
"GRIN2D"	0	0
"GRIN3A"	2	0
"GRIP1"	0	0
"GRK2"	1	1
"GRK4"	0	0
"GRK5"	0	1
"GRK6"	2	1
"GRM2"	0	2
"GRM4"	0	0
"GRN"	0	3
"GRTP1"	0	0
"GSC2"	0	1
"GSK3B"	0	0
"GSN"	2	2
"GSPT1"	0	0
"GSX2"	0	0
"GTF2A1"	0	0
"GTF2A2"	0	0
"GTF2E1"	0	0
"GTF2H3"	0	0
"GTF2H4"	0	0
"GTF2H5"	0	0
"GTF2IRD1"	0	0
"GTF2IRD2"	0	0
"GTPBP1"	0	0
"GTSE1"	0	0
"GUCA1A"	0	0
"GUCY1A1"	0	1
"GUCY1A2"	0	0
"GUCY1B1"	0	0
"GUCY2D"	0	0
"GULP1"	0	0
"GZF1"	0	0
"GZMA"	6	1
"GZMB"	6	1
"H3F3A"	0	0
"HACD3"	0	0
"HASPIN"	1	0
"HAT1"	0	0
"HBEGF"	0	0
"HCAR1"	0	0
"HCAR3"	0	0
"HCLS1"	5	4
"HDAC1"	0	0
"HDAC11"	0	0
"HDAC2"	0	0
"HDAC3"	0	0
"HDAC4"	0	0
"HDAC5"	0	0
"HDAC7"	0	2
"HDAC9"	0	0
"HDX"	0	0
"HELLS"	0	0
"HELZ"	0	0
"HERPUD1"	0	0
"HES1"	0	0
"HES5"	0	0
"HES6"	0	0
"HEXIM1"	0	0
"HEY1"	0	0
"HEYL"	0	0
"HGF"	0	0
"HGS"	0	0
"HHEX"	1	1
"HIC1"	1	4
"HIC2"	0	0
"HIF1A"	0	0
"HIF3A"	0	0
"HINFP"	0	0
"HINT1"	0	0
"HIP1"	0	0
"HIRA"	0	0
"HIST1H2BJ"	0	0
"HIST1H4E"	0	0
"HIST1H4I"	0	1
"HIVEP2"	0	0
"HIVEP3"	1	3
"HLA-DOA"	2	3
"HLA-DOB"	3	3
"HLF"	0	1
"HLTF"	0	0
"HLX"	1	4
"HMBOX1"	0	0
"HMG20A"	0	0
"HMGA2"	0	0
"HMGB1"	0	0
"HMGB2"	0	0
"HMGCR"	0	0
"HMGN1"	0	0
"HMGN2"	0	0
"HMGN5"	0	0
"HMGXB4"	0	0
"HMOX1"	2	0
"HNF1B"	0	0
"HNRNPAB"	0	0
"HNRNPDL"	0	0
"HOMER1"	0	0
"HOMER2"	0	0
"HOMEZ"	0	0
"HOPX"	0	0
"HOXA1"	2	0
"HOXA3"	0	0
"HOXA5"	0	0
"HOXA9"	0	0
"HOXB2"	0	0
"HOXB4"	0	1
