"Chen2"	"Lu1"	"Tomida1_a"
"EBP"	2	2	1
"ECD"	0	0	1
"ECT2"	7	5	6
"EDARADD"	1	1	1
"EED"	3	0	2
"EEF1E1"	4	1	3
"EFS"	1	4	2
"EGLN1"	3	3	2
"EIF2AK2"	1	1	1
"EIF4EBP1"	7	7	7
"ELAVL2"	1	1	1
"ELK1"	1	2	1
"ELK4"	1	0	0
"ELL"	1	0	0
"ELOC"	3	2	2
"ELOVL4"	1	0	1
"ELP2"	1	0	1
"ELP4"	0	0	1
"ELP5"	0	1	0
"EN1"	0	1	0
"ENO1"	1	0	0
"ENPP1"	1	1	0
"ENY2"	0	0	1
"EPHA1"	0	1	0
"EPHB2"	2	1	1
"EPHB3"	1	3	1
"ERCC8"	0	0	1
"ERF"	0	1	1
"ERO1A"	4	3	2
"ESF1"	0	1	1
"ETV2"	0	1	0
"EXT1"	0	1	0
"EYA2"	0	1	0
"EYA3"	1	0	1
"EYA4"	1	0	0
"EZH2"	7	7	7
"F2RL1"	1	1	0
"FADD"	1	3	1
"FADS1"	1	1	1
"FAF1"	1	0	0
"FANCA"	3	3	3
"FANCC"	0	1	0
"FANCD2"	5	5	4
"FANCE"	2	2	2
"FANCF"	0	1	0
"FANCG"	5	5	4
"FANCL"	1	1	1
"FBXO11"	2	1	1
"FBXO6"	1	0	0
"FEN1"	7	7	7
"FGD1"	1	2	0
"FGF11"	2	2	1
"FGF18"	1	0	0
"FGFBP1"	0	1	0
"FGFR1OP"	4	3	3
"FGFR2"	0	1	0
"FH"	1	1	2
"FHL2"	0	2	0
"FIBP"	3	3	1
"FKBP1A"	1	0	0
"FLNB"	1	1	0
"FLT1"	1	0	0
"FLYWCH1"	0	1	0
"FOSL1"	0	2	0
"FOSL2"	0	2	0
"FOXD1"	2	2	1
"FOXE1"	0	2	0
"FOXG1"	0	1	1
"FOXH1"	0	1	0
"FOXK2"	3	3	2
"FOXL2"	0	2	0
"FOXM1"	7	7	7
"FOXN2"	1	0	0
"FST"	0	0	1
"FUBP1"	1	1	1
"FUS"	0	0	1
