"Chen2"	"Lu1"	"Tomida1_a"
"ZNF133"	1	0	1
"ZNF138"	0	0	1
"ZNF142"	1	0	0
"ZNF146"	0	0	1
"ZNF16"	0	0	1
"ZNF174"	0	1	0
"ZNF18"	0	0	1
"ZNF200"	1	0	1
"ZNF202"	1	0	1
"ZNF207"	1	0	1
"ZNF215"	1	1	1
"ZNF217"	1	1	1
"ZNF229"	2	1	1
"ZNF239"	1	0	2
"ZNF257"	1	0	0
"ZNF26"	0	0	1
"ZNF280A"	1	1	1
"ZNF280B"	1	1	1
"ZNF280C"	1	0	0
"ZNF282"	0	2	0
"ZNF300"	1	0	1
"ZNF322"	1	0	1
"ZNF326"	1	0	1
"ZNF343"	1	0	1
"ZNF367"	4	2	3
"ZNF384"	1	2	1
"ZNF408"	0	1	0
"ZNF462"	1	1	0
"ZNF473"	0	0	1
"ZNF488"	1	2	0
"ZNF490"	0	1	0
"ZNF511"	0	1	0
"ZNF519"	1	0	1
"ZNF544"	2	1	3
"ZNF556"	0	1	0
"ZNF565"	0	0	1
"ZNF572"	1	0	0
"ZNF576"	0	1	0
"ZNF578"	1	0	0
"ZNF581"	0	1	1
"ZNF592"	0	1	0
"ZNF593"	1	1	0
"ZNF598"	0	2	1
"ZNF622"	1	0	1
"ZNF639"	1	1	0
"ZNF668"	1	2	2
"ZNF681"	1	1	1
"ZNF692"	1	1	1
"ZNF706"	2	3	2
"ZNF711"	1	1	0
"ZNF714"	1	0	0
"ZNF74"	0	1	0
"ZNF77"	1	0	1
"ZNF787"	0	1	0
"ZNF8"	0	1	2
"ZNF92"	1	0	1
"ZNF93"	2	0	0
"ZNHIT2"	1	1	0
"ZNHIT3"	2	1	2
"ZRANB3"	1	0	2
"ZSCAN21"	1	1	1
"ZSCAN5A"	3	3	1
"ZSWIM1"	0	1	1
"ZUP1"	2	0	0
"ZWINT"	7	7	7
"ZZZ3"	1	0	0
"ANGPTL4"	0	1	0
"ASB6"	0	2	0
"BNC1"	0	1	0
"BRF2"	0	2	0
"CALY"	0	0	1
"CARD19"	0	2	0
"CASKIN1"	0	1	0
"CBX4"	0	0	1
"ELF4"	0	1	0
"ERCC3"	0	0	1
"ETV6"	0	1	0
"GNA15"	0	1	0
"GPR161"	0	1	0
"GPR78"	0	1	0
"GRIN2D"	0	2	0
"HES2"	0	1	0
"HIST1H3B"	0	1	0
"HIST1H4D"	0	1	0
"HIST1H4E"	0	1	0
"HOXC9"	0	1	1
"HTR1D"	0	1	0
"IGSF1"	0	0	1
"KLF16"	0	2	0
"KLK6"	0	1	0
"KMT5C"	0	1	0
"LBP"	0	1	0
"LINGO1"	0	1	0
"MAP4K4"	0	1	0
"MAPK8IP2"	0	1	1
"MDFI"	0	1	0
"MED15"	0	1	0
"MED19"	0	1	0
"MYO1E"	0	1	0
"NKX2-3"	0	1	0
"NKX2-5"	0	1	0
"NKX3-2"	0	1	0
"OR7A5"	0	1	0
"OTX1"	0	1	1
"PAK4"	0	1	0
"PGAP2"	0	1	0
"PITX3"	0	1	0
"PLEKHG2"	0	1	0
"PRDM12"	0	0	1
"PTPRN"	0	1	0
"RAB4B"	0	1	0
"RALBP1"	0	1	0
"RARG"	0	1	0
"RNF4"	0	1	0
"RPTOR"	0	1	0
"SH3BP1"	0	1	0
"SMAD3"	0	1	0
"SNAI2"	0	1	0
"SNX17"	0	1	0
"SP5"	0	1	1
"SUDS3"	0	1	1
"TIGD2"	0	0	1
"TLL2"	0	1	0
"TRAF3IP2"	0	1	0
"TYRO3"	0	1	0
"ULK1"	0	1	0
"VAX1"	0	1	0
"WIZ"	0	1	0
"ZNF165"	0	1	1
"ZNF385A"	0	1	0
"ZNF579"	0	1	0
"ZNF628"	0	1	0
"ZNF664"	0	0	1
"ZNF775"	0	1	0
"ZSCAN25"	0	1	0
"CBX8"	0	0	1
"CCAR1"	0	0	1
"CRTC2"	0	0	1
"ERCC2"	0	0	2
"FOXA1"	0	0	1
"GTF2H2"	0	0	1
"MMS19"	0	0	1
"ONECUT2"	0	0	1
"PIAS3"	0	0	1
"PPP2R2D"	0	0	1
"PSPC1"	0	0	1
"TCERG1"	0	0	1
"TFAP4"	0	0	1
"ZBED1"	0	0	1
"ZNF107"	0	0	1
"ZNF3"	0	0	1
"ZNF480"	0	0	1
"ZNF485"	0	0	1
"ZNF623"	0	0	1
"ZNF687"	0	0	1
"ZNF761"	0	0	1
