"Chen2"	"Lu1"	"Tomida1_a"
"STARD13"	3	2	3
"STARD8"	2	1	3
"STAT4"	1	1	0
"STAT5A"	0	0	1
"STAT5B"	4	3	3
"STAT6"	3	1	2
"STMN2"	1	0	0
"STRN"	0	1	0
"STX2"	0	1	0
"SUB1"	0	2	0
"TAB1"	1	0	0
"TADA2B"	2	2	3
"TAL1"	5	2	5
"TAOK3"	2	2	1
"TAPT1"	2	5	3
"TARDBP"	0	2	0
"TBC1D15"	1	0	1
"TBC1D17"	1	0	0
"TBC1D24"	1	1	0
"TBC1D2B"	6	1	4
"TBC1D5"	1	0	0
"TBC1D8B"	0	1	0
"TBC1D9"	0	3	3
"TBCK"	0	1	0
"TBX19"	0	1	0
"TBX2"	6	1	5
"TBX3"	1	1	1
"TBX4"	5	2	3
"TBX5"	6	3	6
"TBXA2R"	1	1	1
"TCEA3"	2	2	1
"TCEAL1"	0	4	0
"TCEAL2"	2	3	3
"TCEAL3"	0	1	2
"TCF12"	0	1	1
"TCF21"	7	5	7
"TCF25"	1	0	0
"TCF4"	0	0	1
"TCF7L1"	1	1	1
"TCF7L2"	1	1	1
"TDRD3"	2	1	1
"TEF"	2	2	2
"TEK"	5	5	7
"TERF2IP"	1	2	1
"TESC"	2	3	2
"TFCP2L1"	1	0	0
"TFEB"	4	2	5
"TGFBR2"	6	7	6
"TGFBR3"	3	1	4
"TGM2"	2	1	3
"THRA"	3	3	3
"THRB"	3	3	4
"TIAL1"	2	1	2
"TIE1"	2	1	5
"TIGD6"	1	0	0
"TLE2"	3	2	2
"TLE4"	3	4	3
"TLR2"	1	3	2
"TLR3"	4	5	4
"TLR5"	2	2	2
"TLR7"	0	2	0
"TMOD2"	1	1	0
"TMPRSS2"	5	6	6
"TNFRSF10C"	2	1	2
"TNFRSF11A"	1	0	2
"TNFRSF14"	1	3	2
"TNFRSF19"	2	0	1
"TNFRSF1B"	1	0	1
"TNFSF12"	0	0	1
"TNFSF13"	6	4	5
"TNFSF15"	1	2	1
"TNFSF8"	1	0	0
"TNIK"	2	5	3
"TNNI2"	1	0	1
"TNS2"	7	5	6
"TNXB"	1	1	1
"TOLLIP"	1	0	0
"TOX2"	1	1	1
"TP53BP1"	1	2	1
"TP63"	0	1	1
"TRADD"	2	0	1
"TRAK2"	3	4	2
"TRHDE"	3	4	4
"TRIB1"	1	0	0
"TRIM13"	1	2	1
"TRIM22"	0	5	2
"TRIM27"	1	1	0
"TRIM38"	1	3	0
"TRIM5"	0	3	0
"TRIP11"	2	1	1
"TSC1"	2	1	0
"TSC22D1"	0	1	1
"TSC22D3"	5	5	5
"TSHZ1"	1	1	1
"TSPAN12"	0	3	0
"TSPAN8"	0	1	1
"TSPYL2"	4	3	1
"TTN"	2	1	1
"TXNIP"	4	3	4
"TYROBP"	0	0	1
"UACA"	2	1	1
"UBE2I"	5	4	4
"UBP1"	0	1	1
"ULK2"	1	1	1
"UNC13B"	2	3	2
"UNC5CL"	1	1	1
"USP20"	1	0	1
"USP8"	0	2	0
"USP9X"	2	1	1
"VAPA"	2	3	2
"VAPB"	1	1	1
"VAV3"	1	0	0
"VEZF1"	0	1	0
"VGLL3"	2	2	1
"VIPR1"	6	3	5
"VPS36"	3	2	3
"WDTC1"	1	0	0
"WFS1"	4	2	5
"WISP2"	4	2	3
"WLS"	1	2	2
"WNT2"	0	0	1
"WNT3A"	0	1	1
"WNT5A"	1	1	1
"WSB1"	0	0	1
"WWC1"	4	3	3
"WWTR1"	1	1	1
"XPA"	0	1	0
"XPC"	6	4	5
"YPEL5"	3	3	3
"YY1"	1	1	0
"ZAP70"	1	1	0
"ZBED3"	1	2	0
"ZBTB16"	7	6	6
"ZBTB18"	3	5	1
"ZBTB20"	1	6	1
"ZBTB37"	0	1	0
"ZBTB4"	5	4	4
"ZBTB43"	0	1	0
"ZBTB46"	1	1	0
"ZBTB47"	1	0	1
"ZBTB7C"	3	2	4
"ZC3H12B"	1	0	0
"ZC3H13"	1	1	1
"ZC3H14"	0	1	0
"ZC3H6"	2	3	2
"ZC3H7B"	1	0	0
"ZCCHC24"	4	0	3
"ZCWPW2"	0	1	0
"ZDHHC1"	1	0	1
"ZDHHC15"	1	3	2
"ZDHHC17"	1	1	1
"ZDHHC2"	0	2	1
"ZDHHC3"	1	1	3
"ZDHHC7"	1	1	0
"ZEB1"	1	1	1
"ZEB2"	2	2	2
"ZFP2"	2	1	2
"ZFP3"	2	2	1
"ZFP36"	0	0	2
"ZFP36L1"	0	0	1
"ZFP36L2"	1	0	1
"ZFP90"	0	1	1
"ZFP92"	0	0	1
"ZFPM2"	0	0	1
"ZFYVE28"	1	0	0
"ZHX3"	1	1	1
"ZKSCAN7"	1	1	0
"ZMAT1"	2	4	1
"ZMYM6"	1	2	0
"ZMYND12"	1	1	1
"ZMYND15"	2	1	2
"ZNF10"	1	1	1
"ZNF106"	2	3	2
"ZNF117"	0	2	1
"ZNF132"	1	1	1
"ZNF136"	0	1	1
"ZNF160"	1	0	0
"ZNF175"	1	0	1
"ZNF181"	1	1	1
"ZNF189"	1	1	2
"ZNF19"	1	0	0
"ZNF211"	1	1	0
"ZNF219"	1	0	0
"ZNF23"	1	0	0
"ZNF248"	1	1	0
"ZNF25"	2	4	3
"ZNF250"	0	1	0
"ZNF254"	1	0	0
"ZNF257"	0	1	1
"ZNF319"	1	1	1
"ZNF326"	1	1	1
"ZNF333"	1	1	0
"ZNF33B"	1	0	0
"ZNF34"	1	1	0
"ZNF346"	1	0	0
"ZNF362"	2	0	1
"ZNF366"	1	1	1
"ZNF37A"	0	1	0
"ZNF385B"	3	5	4
"ZNF423"	1	0	1
"ZNF425"	1	1	1
"ZNF429"	1	1	1
"ZNF436"	1	1	1
"ZNF438"	2	2	2
"ZNF439"	0	1	0
"ZNF44"	2	3	2
"ZNF441"	1	2	1
"ZNF442"	1	1	1
"ZNF462"	0	1	0
"ZNF467"	1	0	1
"ZNF471"	1	2	1
"ZNF490"	1	1	0
"ZNF491"	1	1	0
"ZNF493"	0	1	0
"ZNF512"	1	0	0
"ZNF519"	0	1	1
"ZNF536"	1	1	1
"ZNF540"	3	5	3
"ZNF541"	1	1	1
"ZNF546"	1	1	1
"ZNF547"	1	0	0
"ZNF552"	0	1	0
"ZNF554"	1	1	0
"ZNF557"	1	1	0
"ZNF559"	1	2	0
"ZNF563"	2	1	2
"ZNF564"	1	3	2
"ZNF575"	1	0	1
"ZNF580"	1	0	0
"ZNF589"	1	1	0
"ZNF596"	1	1	1
"ZNF597"	1	1	1
"ZNF608"	2	3	3
"ZNF658"	2	2	1
"ZNF662"	1	0	0
"ZNF667"	0	0	1
"ZNF671"	1	2	1
"ZNF677"	0	1	1
"ZNF69"	1	1	0
"ZNF704"	2	2	2
"ZNF709"	1	2	0
"ZNF750"	1	2	1
"ZNF75D"	1	3	1
"ZNF763"	2	2	2
"ZNF778"	1	0	0
"ZNF781"	1	1	1
"ZNF784"	1	0	0
"ZNF80"	1	0	1
"ZNF826P"	0	1	1
"ZNF836"	1	1	1
"ZNF844"	0	2	0
"ZNF846"	1	1	1
"ZNF853"	1	0	0
"ZNF862"	1	1	1
"ZRANB1"	1	1	1
"ZRSR2"	2	3	0
"ZSCAN18"	0	1	0
"ZSCAN32"	1	2	0
"ZSCAN4"	1	1	1
"ZSWIM5"	1	1	1
"ZSWIM7"	1	1	1
"ZXDC"	0	1	0
"ZZEF1"	2	2	3
"ARFGEF3"	0	1	0
"BIRC3"	0	1	0
"BRD8"	0	1	0
"CASP1"	0	1	0
"CASP8"	0	1	0
"CDC42SE2"	0	1	0
"CDKN1B"	0	1	0
"CITED1"	0	1	1
"CLEC2D"	0	1	0
"CNOT8"	0	1	0
"CREG1"	0	1	1
"DAPP1"	0	1	0
"EID3"	0	0	1
"ELF2"	0	1	0
"ELL2"	0	1	0
"FZD1"	0	1	0
"GATAD1"	0	1	0
"GPR34"	0	1	0
"GPR82"	0	1	0
"HDAC9"	0	0	1
"HSF5"	0	1	1
"IKZF2"	0	1	1
"INSIG2"	0	1	0
"IQGAP1"	0	1	0
"IRF2"	0	2	2
"JAK1"	0	1	0
"L3MBTL4"	0	1	0
"LPAR6"	0	1	0
"LY96"	0	1	1
"MAF"	0	0	1
"MAP3K1"	0	1	0
"MAPK9"	0	1	0
"MDM4"	0	1	0
"MESP1"	0	1	0
"MNDA"	0	0	1
"MYO6"	0	1	0
"NCOA2"	0	1	0
"NCOR1"	0	1	0
"NT5C2"	0	1	0
"NUP214"	0	0	1
"PARP15"	0	1	0
"PBRM1"	0	1	0
"PDE6B"	0	1	0
"PKIA"	0	0	1
"PNRC2"	0	2	0
"PPM1L"	0	1	0
"PPP2R5E"	0	1	0
"PRKAR1A"	0	1	0
"PTPRC"	0	0	1
"PTPRJ"	0	2	0
"RAB33B"	0	2	0
"RABEP1"	0	0	1
"RAD17"	0	1	0
"RALGAPA1"	0	1	0
"RAP2C"	0	1	0
"RASEF"	0	1	0
"RASSF5"	0	1	0
"RCHY1"	0	1	0
"RNF14"	0	1	0
"SALL2"	0	2	0
"SH3BGRL"	0	1	1
"SIRT1"	0	1	0
"SLC12A2"	0	1	0
"SMAD5"	0	1	0
"STK17B"	0	1	0
"STMN3"	0	1	1
"TBC1D12"	0	1	0
"TCEAL4"	0	1	0
"TCEAL6"	0	0	1
"TCEAL8"	0	1	1
"TIAM1"	0	0	1
"TMED4"	0	1	0
"TNFSF10"	0	1	1
"UIMC1"	0	1	0
"ZDHHC21"	0	1	0
"ZFAND5"	0	1	0
"ZMYND11"	0	1	0
"ZNF17"	0	1	0
"ZNF214"	0	1	0
"ZNF24"	0	1	0
"ZNF264"	0	1	0
"ZNF280D"	0	1	0
"ZNF311"	0	1	1
"ZNF320"	0	1	0
"ZNF330"	0	1	0
"ZNF443"	0	1	0
"ZNF483"	0	1	0
"ZNF626"	0	0	1
"ZNF627"	0	1	0
"ZNF630"	0	0	1
"ZNF682"	0	2	0
"ZNF708"	0	1	0
"ZNF737"	0	1	0
"ZNF799"	0	1	0
"ZNF831"	0	1	0
"ZNF91"	0	1	0
"ZSCAN30"	0	1	0
"ANKRD1"	0	0	1
"ARHGAP22"	0	0	1
"CCN5"	0	0	1
"CLN3"	0	0	1
"EBF2"	0	0	1
"EGR3"	0	0	1
"EID1"	0	0	1
"GLI3"	0	0	1
"GPR143"	0	0	1
"ITGB6"	0	0	1
"MAX"	0	0	1
"PADI4"	0	0	1
"PI4KA"	0	0	1
"PLEKHG1"	0	0	1
"ZSWIM6"	0	0	1
