"Chen2"	"Lu1"	"Tomida1_a"
"DAPK2"	6	6	4
"DBP"	1	1	0
"DCAF6"	0	1	0
"DCC"	0	0	1
"DCDC2"	0	1	1
"DCLK2"	1	0	0
"DDAH1"	1	2	1
"DDAH2"	0	0	2
"DDX17"	1	1	0
"DDX5"	2	2	2
"DEAF1"	1	0	0
"DEPTOR"	2	2	1
"DGKD"	2	1	1
"DHCR24"	1	2	3
"DIRAS3"	1	3	2
"DISP1"	3	4	4
"DIXDC1"	3	3	3
"DLC1"	7	5	7
"DLL1"	1	0	0
"DMD"	4	5	4
"DMRTC1B"	1	1	1
"DNAJC27"	1	1	1
"DNASE1L3"	2	2	4
"DOCK1"	0	2	0
"DOK1"	0	1	0
"DOK2"	1	0	3
"DOK4"	5	4	3
"DPYSL2"	6	7	7
"DTX4"	4	1	4
"DUOX1"	5	4	6
"DUOX2"	1	0	1
"DUSP1"	3	1	3
"DUSP19"	1	0	1
"DUSP22"	2	0	0
"DUSP6"	1	1	0
"DZIP3"	0	1	0
"EBF1"	1	0	0
"EBF4"	1	0	1
"EDN1"	1	0	2
"EDNRB"	5	4	6
"EFCAB6"	2	0	1
"EFS"	1	0	2
"EGR1"	1	0	1
"EGR2"	0	0	1
"EIF4EBP2"	3	2	2
"ELANE"	1	0	1
"ELF5"	1	1	2
"ELMO1"	0	1	0
"ELN"	6	2	5
"ELP2"	1	1	0
"ENG"	4	3	4
"ENPP2"	0	1	1
"ENY2"	1	1	1
"EPAS1"	4	3	5
"EPC1"	0	1	0
"EPHA3"	1	1	0
"EPHA4"	1	2	1
"EPHB6"	1	0	1
"EPOR"	1	1	0
"EPS15"	3	4	3
"EPS8"	1	2	1
"ERBB2"	1	1	0
"ERBB4"	4	6	4
"ERG"	5	3	6
"ERN2"	2	0	0
"ESR1"	1	1	1
"ESRRG"	0	2	0
"ETS2"	2	2	1
"ETV1"	3	6	4
"ETV2"	1	0	0
"ETV5"	1	1	1
"EVI2A"	0	1	0
"EVI5"	0	1	0
"EVL"	2	1	1
"EXT1"	1	1	1
"EZH1"	5	6	4
"F10"	3	0	3
"FABP4"	3	4	6
"FAM120B"	1	0	1
"FAM13B"	3	5	3
"FARP1"	1	0	0
"FARP2"	1	1	1
"FBXO31"	1	0	0
"FBXW11"	1	1	1
"FBXW4"	3	2	1
"FCER1A"	5	5	5
"FCGR2B"	0	0	1
"FCGRT"	4	3	4
"FER"	1	0	0
"FFAR4"	2	1	1
"FGD2"	0	1	0
"FGD4"	2	1	0
"FGD5"	1	1	3
"FGF1"	0	0	1
"FGF13"	1	2	2
